City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,kodiak,57.79,-152.4072,-1.27,37,0,4.63,US,1675984873
123,tasiilaq,65.6145,-37.6368,-3.91,60,100,4.81,GL,1675984874
124,belyy yar,53.6039,91.3903,-22.06,84,100,0.0,RU,1675984874
125,cayenne,4.9333,-52.3333,25.02,88,75,3.09,GF,1675984875
126,marienburg,54.0359,19.0266,0.58,69,85,5.95,PL,1675984875
127,ullapool,57.8987,-5.1604,7.42,94,100,6.17,GB,1675984650
128,srednekolymsk,67.45,153.6833,-44.23,100,78,2.45,RU,1675984876
129,saravan,39.7196,45.6483,-12.28,83,80,3.05,AM,1675984877
130,aksarka,66.5606,67.7975,-6.35,90,100,6.8,RU,1675984877
131,port elizabeth,-33.918,25.5701,19.5,94,0,1.03,ZA,1675984878
132,harper,4.375,-7.7169,26.49,84,55,3.73,LR,1675984878
133,krasnokholm,51.5979,54.1567,-16.86,99,71,2.06,RU,1675984879
134,ribeira grande,38.5167,-28.7,14.87,71,69,6.26,PT,1675984879
135,ust-nera,64.5667,143.2,-44.5,94,42,1.09,RU,1675984880
136,pisco,-13.7,-76.2167,24.03,83,0,9.26,PE,1675984880
137,margate,51.3813,1.3862,4.83,74,56,3.15,GB,1675984881
138,salalah,17.0151,54.0924,26.05,34,0,4.63,OM,1675984881
139,hithadhoo,-0.6,73.0833,27.05,74,100,3.79,MV,1675984881
140,korla,41.7597,86.1469,-1.31,59,98,0.56,CN,1675984882
141,bushehr,28.9684,50.8385,12.05,47,0,8.75,IR,1675984883
142,ilinskiy,55.619,38.1182,-1.79,80,100,4.0,RU,1675984883
143,nakamura,32.9833,132.9333,11.03,94,100,5.41,JP,1675984884
144,aleksandrov gay,50.147,48.5704,-12.56,99,74,0.73,RU,1675984885
145,castro,-24.7911,-50.0119,21.57,71,25,0.92,BR,1675984885
146,clyde river,70.4692,-68.5914,-35.87,68,0,3.09,CA,1675984886
